a	﻿một
call	gọi điện
camera	Máy ảnh
camp	trại
campaign	chiến dịch
campus	khuôn viên
can	có thể
canadian	người Canada
cancer	ung thư
candidate	ứng cử viên
cap	mũ lưỡi trai
capability	khả năng
capable	có khả năng
capacity	sức chứa
capital	thủ đô
captain	đội trưởng
capture	chụp
car	xe hơi
carbon	carbon
card	Thẻ
care	quan tâm
career	nghề nghiệp
careful	cẩn thận
carefully	cẩn thận
carrier	vận chuyển
carry	mang
case	trường hợp
cash	tiền mặt
cast	đúc
cat	con mèo
catch	bắt lấy
category	thể loại
catholic	Công giáo
cause	nguyên nhân
ceiling	Trần nhà
celebrate	ăn mừng
celebration	lễ kỷ niệm
celebrity	người nổi tiếng
cell	tế bào
center	trung tâm
central	Trung tâm
century	thế kỷ
ceo	CEO
ceremony	Lễ
certain	chắc chắn
certainly	chắc chắn
chain	chuỗi
chair	cái ghế
chairman	Chủ tịch
challenge	thử thách
chamber	buồng
champion	quán quân
championship	chức vô địch
chance	cơ hội
change	thay đổi
changing	thay đổi
channel	kênh
chapter	chương
character	tính cách
characteristic	đặc trưng
characterize	đặc trưng
charge	sạc điện
charity	từ thiện
chart	đồ thị
chase	đuổi theo
cheap	rẻ
check	kiểm tra
cheek	gò má
cheese	phô mai
chef	đầu bếp
chemical	hóa chất
chest	ngực
chicken	gà
chief	giám đốc
child	đứa trẻ
childhood	thời thơ ấu
chinese	Trung Quốc
chip	Chip
chocolate	sô cô la
choice	sự lựa chọn
cholesterol	cholesterol
choose	chọn
christian	Cơ đốc giáo
christmas	Giáng sinh
church	nhà thờ
cigarette	thuốc lá
circle	vòng tròn
circumstance	hoàn cảnh
cite	trích dẫn
citizen	công dân
city	thành phố
civil	dân sự
civilian	dân thường
claim	yêu cầu
class	lớp học
classic	cổ điển
classroom	lớp học
clean	dọn dẹp
clear	thông thoáng
clearly	thông suốt
client	khách hàng
climate	khí hậu
climb	leo
clinic	phòng khám bệnh
clinical	lâm sàng
clock	đồng hồ
close	gần
closely	chặt chẽ
closer	gần hơn
clothes	quần áo
clothing	quần áo
cloud	đám mây
club	câu lạc bộ
clue	đầu mối
cluster	cụm
coach	huấn luyện viên
coal	than đá
coalition	liên minh
coast	bờ biển
coat	áo khoác
code	mã
coffee	cà phê
cognitive	nhận thức
cold	lạnh
collapse	sự sụp đổ
colleague	đồng nghiệp
collect	sưu tầm
collection	bộ sưu tập
collective	tập thể
college	trường đại học
colonial	thuộc địa
color	màu
column	cột
combination	sự phối hợp
combine	phối hợp
come	đến
comedy	phim hài
comfort	sự thoải mái
comfortable	Thoải mái
command	chỉ huy
commander	chỉ huy
comment	bình luận
commercial	thương mại
commission	Uỷ ban
commit	cam kết
commitment	cam kết
committee	ủy ban
common	chung
communicate	giao tiếp
communication	giao tiếp
community	cộng đồng
company	Công ty
compare	so sánh
comparison	so sánh
compete	cạnh tranh
competition	cuộc thi
competitive	cạnh tranh
competitor	đối thủ
complain	than phiền
complaint	lời phàn nàn
complete	hoàn thành
completely	hoàn toàn
complex	phức tạp
complicated	phức tạp
component	thành phần
compose	soạn, biên soạn
composition	thành phần
comprehensive	toàn diện
computer	máy vi tính
concentrate	tập trung
concentration	sự tập trung
concept	khái niệm
concern	mối quan ngại
concerned	liên quan
concert	buổi hòa nhạc
conclude	kết luận
conclusion	phần kết luận
concrete	bê tông
condition	điều kiện
conduct	hạnh kiểm
conference	hội nghị
confidence	sự tự tin
confident	tự tin
confirm	xác nhận
conflict	cuộc xung đột
confront	đối đầu
confusion	sự nhầm lẫn
congress	Hội nghị
congressional	quốc hội
connect	kết nối
connection	kết nối
consciousness	ý thức
consensus	sự đồng thuận
consequence	kết quả
conservative	thận trọng
consider	xem xét
considerable	đáng kể
consideration	xem xét
consist	bao gồm
consistent	thích hợp
constant	không thay đổi
constantly	liên tục
constitute	cấu tạo
constitutional	hiến pháp
construct	xây dựng
construction	xây dựng
consultant	tư vấn
consume	tiêu thụ
consumer	khách hàng
consumption	tiêu thụ
contact	tiếp xúc
contain	chứa
container	thùng đựng hàng
contemporary	đồng thời
content	Nội dung
contest	Cuộc thi
context	bối cảnh
continue	tiếp tục
continued	tiếp tục
contract	hợp đồng
contrast	tương phản
contribute	Góp phần
contribution	sự đóng góp
control	điều khiển
controversial	gây tranh cãi
controversy	tranh cãi
convention	quy ước
conventional	thông thường
conversation	cuộc hội thoại
convert	đổi
conviction	lòng tin chắc, sự kết án, phán quyết
convince	thuyết phục
cook	nấu ăn
cookie	bánh quy
cooking	nấu nướng
cool	mát mẻ
cooperation	hợp tác
cop	cảnh sát
cope	đối phó
copy	sao chép
core	cốt lõi
corn	Ngô
corner	góc
corporate	công ty
corporation	tập đoàn
correct	chính xác
correspondent	phóng viên
cost	Giá cả
cotton	bông
couch	đi văng
could	có thể
council	hội đồng
counselor	người cố vấn
count	đếm
counter	quầy tính tiền
country	Quốc gia
county	quận
couple	cặp đôi
courage	lòng can đảm
course	khóa học
court	tòa án
cousin	anh chị em họ
cover	che
coverage	phủ sóng
cow	con bò
crack	vết nứt
craft	nghề thủ công
crash	tai nạn
crazy	khùng
cream	kem
create	tạo nên
creation	sự sáng tạo
creative	sáng tạo
creature	sinh vật
credit	tín dụng
crew	phi hành đoàn
crime	tội ác
criminal	tội phạm
crisis	cuộc khủng hoảng
criteria	tiêu chí
critic	nhà phê bình
critical	chỉ trích
criticism	sự chỉ trích
criticize	chỉ trích
crop	mùa vụ
cross	vượt qua
crowd	đám đông
crucial	quan trọng
cry	khóc
cultural	văn hóa
culture	văn hóa
cup	cái chén
curious	Hiếu kỳ
current	hiện hành
currently	hiện tại
curriculum	chương trình giáo dục
custom	tập quán
customer	khách hàng
cut	cắt tỉa
cycle	chu kỳ
dad	cha
daily	hằng ngày
damage	hư hại
dance	nhảy
danger	nguy hiểm
dangerous	nguy hiểm
dare	dám
dark	tối
darkness	bóng tối
data	dữ liệu
date	ngày
daughter	Con gái
day	ngày
dead	đã chết
deal	thỏa thuận
dealer	người buôn bán
dear	kính thưa
death	tử vong
debate	tranh luận
debt	món nợ
decade	thập kỷ
decide	quyết định
decision	phán quyết
deck	boong tàu
declare	khai
decline	từ chối
decrease	giảm bớt
deep	sâu
deeply	sâu sắc
deer	con nai
defeat	đánh bại
defend	phòng thủ
defendant	bị cáo
defense	phòng thủ
defensive	phòng ngự
deficit	thâm hụt
define	định nghĩa
definitely	chắc chắn
definition	Định nghĩa
degree	trình độ
delay	sự chậm trễ
deliver	giao hàng
delivery	chuyển
demand	nhu cầu
democracy	dân chủ
democrat	Dân chủ
democratic	dân chủ
demonstrate	chứng minh
demonstration	trình diễn
deny	từ chối
department	bộ phận
depend	tùy theo
dependent	phụ thuộc
depending	tùy
depict	miêu tả
depression	Phiền muộn
depth	chiều sâu
deputy	phó
derive	lấy được
describe	miêu tả
description	sự miêu tả
desert	Sa mạc
deserve	xứng đáng
design	thiết kế
designer	nhà thiết kế
desire	khao khát
desk	bàn
desperate	tuyệt vọng
despite	mặc dù
destroy	hủy hoại
destruction	sự phá hủy
detail	chi tiết
detailed	chi tiết
detect	phát hiện
determine	mục đích
develop	phát triển, xây dựng
developing	đang phát triển
development	phát triển
device	thiết bị
devote	cống hiến
dialogue	hội thoại
die	chết
diet	chế độ ăn
differ	khác nhau
difference	Sự khác biệt
different	khác nhau
differently	khác biệt
difficult	khó khăn
difficulty	khó khăn
dig	đào
digital	kỹ thuật số
dimension	kích thước
dining	ăn uống
dinner	bữa tối
direct	thẳng thắn
direction	phương hướng
directly	trực tiếp
director	giám đốc
dirt	bụi bẩn
dirty	dơ bẩn
disability	khuyết tật
disagree	không đồng ý
disappear	biến mất
disaster	thảm họa
discipline	kỷ luật
discourse	đàm luận
discover	khám phá
discovery	khám phá
discrimination	phân biệt đối xử
discuss	bàn luận
discussion	thảo luận
disease	dịch bệnh
dish	món ăn
dismiss	bỏ qua
disorder	rối loạn
display	trưng bày
dispute	tranh chấp
distance	khoảng cách
distant	xa xôi
distinct	khác biệt
distinction	phân biệt
distinguish	phân biệt
distribute	phân phát
distribution	phân phối
district	huyện
diverse	phong phú
diversity	sự đa dạng
divide	chia
division	sự chia
divorce	ly hôn
dna	DNA
do	làm
doctor	Bác sĩ
document	tài liệu
dog	chó
domestic	trong nước
dominant	có ưu thế
dominate	thống trị
door	cửa
double	gấp đôi
doubt	nghi ngờ
down	xuống
downtown	trung tâm thành phố
dozen	tá
draft	bản nháp
drag	kéo
drama	kịch
dramatic	kịch tính
dramatically	đáng kể
draw	vẽ tranh
drawing	bản vẽ
dream	mơ tưởng
dress	trang phục
drink	uống
drive	lái xe
driver	người lái xe
drop	rơi vãi
drug	thuốc uống
dry	khô
due	do
during	suốt trong
dust	bụi bặm
duty	nhiệm vụ
each	mỗi
eager	hăng hái
ear	tai
early	sớm
earn	kiếm
earnings	thu nhập
earth	trái đất
ease	giảm bớt
easily	dễ dàng
east	Đông
eastern	phương Đông
easy	dễ dàng
eat	ăn
economic	thuộc kinh tế
economics	Kinh tế học
economist	nhà kinh tế học
economy	nên kinh tê
edge	cạnh
edition	phiên bản
editor	biên tập viên
educate	giáo dục
education	giáo dục
educational	giáo dục
educator	nhà giáo dục
effect	hiệu ứng
effective	có hiệu lực
effectively	hiệu quả
efficiency	hiệu quả
efficient	hiệu quả
effort	cố gắng
egg	trứng
eight	tám
either	hoặc
elderly	người già
elect	trúng tuyển
election	cuộc bầu cử
electric	điện
electricity	điện lực
electronic	điện tử
element	thành phần
elementary	tiểu học
eliminate	loại trừ
elite	ưu tú
else	khác
elsewhere	nơi khác
e-mail	e-mail
embrace	ôm hôn
emerge	hiện ra
emergency	trường hợp khẩn cấp
emission	khí thải
emotion	cảm xúc
emotional	đa cảm
emphasis	nhấn mạnh
emphasize	nhấn mạnh
employ	thuê
employee	Nhân viên
employer	chủ nhân
employment	việc làm
empty	trống
enable	cho phép
encounter	gặp gỡ
encourage	khuyến khích
end	kết thúc
enemy	kẻ thù
energy	năng lượng
enforcement	thực thi
engage	thuê
engine	động cơ
engineer	kỹ sư
engineering	kỹ thuật
english	Anh
enhance	nâng cao
enjoy	thưởng thức
enormous	to lớn
enough	đủ
ensure	đảm bảo
enter	đi vào
enterprise	doanh nghiệp
entertainment	sự giải trí
entire	toàn thể
entirely	hoàn toàn
entrance	cổng vào
entry	lối vào
environment	môi trường
environmental	môi trường
episode	tập phim
equal	công bằng
equally	bằng nhau
equipment	Trang thiết bị
era	kỷ nguyên
error	lỗi
escape	bỏ trốn
especially	đặc biệt
essay	tiểu luận
essential	Cần thiết
essentially	bản chất
establish	thành lập
establishment	thành lập
estate	bất động sản
estimate	ước tính
etc	v.v.
ethics	đạo đức
ethnic	dân tộc
european	Châu Âu
evaluate	đánh giá
evaluation	đánh giá
even	cũng
evening	tối
event	biến cố
eventually	cuối cùng
ever	không bao giờ
every	mỗi
everybody	mọi người
everyday	mỗi ngày
everyone	tất cả mọi người
everything	mọi điều
everywhere	mọi nơi
evidence	chứng cớ
evolution	sự phát triển
evolve	phát triển
exact	chính xác
exactly	chính xác
examination	kiểm tra
examine	xem xét
example	thí dụ
exceed	quá
excellent	Xuất sắc
except	ngoại trừ
exception	ngoại lệ
exchange	trao đổi, giao dịch
exciting	thú vị
executive	điều hành
exercise	tập thể dục
exhibit	triển lãm
exhibition	triển lãm
exist	hiện hữu
existence	sự tồn tại
existing	hiện tại
expand	mở rộng
expansion	sự bành trướng
expect	chờ đợi
expectation	sự mong đợi
expense	chi phí
expensive	đắt
experience	kinh nghiệm
experiment	thí nghiệm
expert	chuyên gia
explain	giải thích
explanation	giải trình
explode	nổ tung
explore	khám phá
explosion	sự nổ
expose	lộ ra
exposure	Phơi bày
express	bày tỏ
expression	biểu hiện
extend	mở rộng
extension	sự mở rộng
extensive	sâu rộng
extent	mức độ
external	bên ngoài
extra	thêm
extraordinary	phi thường
extreme	cực
extremely	vô cùng
eye	mắt
fabric	vải
face	đối mặt
facility	cơ sở
fact	thực tế
factor	hệ số
factory	nhà máy
faculty	giảng viên
fade	phai màu
fail	Thất bại
failure	thất bại
fair	hội chợ
fairly	công bằng
faith	đức tin
fall	ngã
false	sai
familiar	quen
family	gia đình
famous	nổi danh
fan	quạt
fantasy	tưởng tượng
far	xa
farm	nông trại
farmer	nông phu
fashion	thời trang
fast	Nhanh
fat	mập
fate	số phận
father	cha
fault	lỗi
favor	ủng hộ
favorite	yêu thích
fear	nỗi sợ
feature	đặc tính
federal	liên bang
fee	học phí
feed	nuôi
feel	cảm thấy
feeling	cảm giác
fellow	đồng nghiệp
female	giống cái
fence	hàng rào
few	vài
fewer	ít hơn
fiber	chất xơ
fiction	viễn tưởng
field	cánh đồng
fifteen	mười lăm
fifth	thứ năm
fifty	năm mươi
fight	chiến đấu
fighter	đấu sĩ
fighting	trận đánh
figure	nhân vật
file	tập tin
fill	lấp đầy
film	phim ảnh
final	sau cùng
finally	cuối cùng
finance	tài chính
financial	tài chính
find	tìm thấy
finding	Phát hiện
fine	khỏe
finger	ngón tay
finish	hoàn thành
fire	ngọn lửa
firm	chắc chắn
first	Đầu tiên
fish	cá
fishing	đánh bắt cá
fit	Phù hợp
fitness	thể dục
five	số năm
fix	sửa chữa
flag	cờ
flame	ngọn lửa
flat	bằng phẳng
flavor	hương vị
flee	chạy trốn
flesh	xác thịt
flight	chuyến bay
float	phao
floor	sàn nhà
flow	lưu lượng
flower	hoa
fly	bay
focus	tiêu điểm
folk	dân gian
follow	theo
following	tiếp theo
food	món ăn
foot	chân
football	bóng đá
for	cho
force	lực lượng
foreign	ngoại quốc
forest	rừng
forever	mãi mãi
forget	quên
form	hình thức
formal	chính thức
formation	sự hình thành
former	trước đây
formula	công thức
forth	ra
fortune	vận may
forward	phía trước
found	tìm
foundation	nền tảng
founder	người sáng lập
four	bốn
fourth	thứ tư
frame	khung
framework	khuôn khổ
free	miễn phí
freedom	sự tự do
freeze	Đông cứng
french	người Pháp
frequency	tần số
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi
friend	người bạn
friendly	thân thiện
friendship	hữu nghị
from	từ
front	trước mặt
fruit	trái cây
frustration	thất vọng
fuel	nhiên liệu
full	đầy
fully	đầy đủ
fun	vui vẻ
function	chức năng
fund	quỹ
fundamental	cơ bản
funding	kinh phí
funeral	tang lễ
funny	buồn cười
furniture	đồ nội thất
furthermore	hơn nữa
future	Tương lai
gain	thu được
galaxy	Thiên hà
gallery	bộ sưu tập
game	trò chơi
gang	băng nhóm
gap	lỗ hổng
garage	nhà để xe
garden	vườn
garlic	tỏi
gas	khí ga
gate	cánh cổng
gather	tụ họp
gay	người đồng tính
gaze	cái nhìn
gear	Hộp số
gender	giới tính
gene	gen
general	chung
generally	nói chung là
generate	tạo ra
generation	thế hệ
genetic	di truyền
gentleman	quý ông
gently	dịu dàng
german	tiếng Đức
gesture	cử chỉ
get	được
ghost	ma
giant	khổng lồ
gift	quà tặng
gifted	năng khiếu
girl	con gái
girlfriend	bạn gái
give	đưa cho
given	được
glad	vui vẻ
glance	liếc nhìn
glass	ly
global	toàn cầu
glove	găng tay
go	đi
goal	mục tiêu
god	Thượng Đế
gold	vàng
golden	vàng
golf	golf
good	tốt
government	chính quyền
governor	thống đốc
grab	vồ lấy
grade	cấp
gradually	dần dần
graduate	tốt nghiệp
grain	ngũ cốc
grand	lớn
grandfather	ông nội
grandmother	bà ngoại
grant	ban cho
grass	cỏ
grave	phần mộ
gray	màu xám
great	tuyệt quá
greatest	vĩ đại nhất
green	màu xanh lá
grocery	tạp hóa
ground	đất
group	nhóm
grow	lớn lên
growing	phát triển
growth	sự phát triển
guarantee	Bảo hành
guard	bảo vệ
guess	phỏng đoán
guest	khách
guide	hướng dẫn
guideline	hướng dẫn
guilty	tội lỗi
gun	súng
guy	chàng
habit	thói quen
habitat	môi trường sống
hair	tóc
half	một nửa
hall	đại sảnh
hand	tay
handful	số ít
handle	xử lý
hang	treo
happen	xảy ra
happy	vui mừng
hard	cứng
hardly	khó khăn
hat	mũ
hate	ghét bỏ
have	có
he	anh ấy
head	cái đầu
headline	tiêu đề
headquarters	trụ sở chính
health	Sức khỏe
healthy	khỏe mạnh
hear	Nghe
hearing	thính giác
heart	tim
heat	nhiệt
heaven	thiên đàng
heavily	nặng nề
heavy	nặng
heel	gót chân
height	Chiều cao
helicopter	máy bay trực thăng
hell	Địa ngục
hello	xin chào
help	Cứu giúp
helpful	Hữu ích
her	cô ấy
here	đây
heritage	gia tài
hero	anh hùng
herself	bản thân cô ấy
hey	Chào
hi	Chào
hide	ẩn giấu
high	cao
highlight	Điểm nổi bật
highly	cao
highway	Xa lộ
hill	đồi núi
him	anh ta
himself	bản thân anh ấy
hip	hông
hire	Thuê
his	của anh ấy
historian	nhà sử học
historic	mang tính lịch sử
historical	lịch sử
history	lịch sử
hit	đánh
hold	giữ
hole	lỗ
holiday	ngày lễ
holy	thánh thiện
home	nhà
homeless	Vô gia cư
honest	thật thà
honey	mật ong
honor	tôn vinh
hope	mong
horizon	chân trời
horror	kinh dị
horse	con ngựa
hospital	bệnh viện
host	chủ nhà
hot	nóng bức
hotel	khách sạn
hour	giờ
house	nhà ở
household	hộ gia đình
housing	nhà ở
how	làm sao
however	Tuy nhiên
huge	khổng lồ
human	Nhân loại
humor	hài hước
hundred	hàng trăm
hungry	đói bụng
hunter	thợ săn
hunting	săn bắn
hurt	đau
husband	người chồng
hypothesis	giả thuyết
i	tôi
ice	Nước đá
idea	ý kiến
ideal	lý tưởng
identification	nhận biết
identify	nhận định
identity	danh tính
ie	I E
if	nếu
ignore	bỏ qua
ill	bệnh
illegal	bất hợp pháp
illness	bệnh
illustrate	Minh họa
image	hình ảnh
imagination	trí tưởng tượng
imagine	tưởng tượng
immediate	ngay lập tức
immediately	ngay
immigrant	di trú
immigration	nhập cư
impact	va chạm
implement	triển khai thực hiện
implication	ngụ ý
imply	bao hàm, ngụ ý
importance	tầm quan trọng
important	quan trọng
impose	áp đặt
impossible	Không thể nào
impress	gây ấn tượng
impression	ấn tượng
impressive	ấn tượng
improve	cải tiến
improvement	cải thiện
in	trong
incentive	khuyến khích
incident	biến cố
include	bao gồm
including	kể cả
income	thu nhập
incorporate	kết hợp
increase	tăng
increased	tăng
increasing	tăng
increasingly	ngày càng
incredible	đáng kinh ngạc
indeed	thật
independence	sự độc lập
independent	độc lập
index	mục lục
indian	người Ấn Độ
indicate	biểu thị
indication	dấu hiệu
individual	cá nhân
industrial	công nghiệp
industry	ngành công nghiệp
infant	trẻ sơ sinh
infection	nhiễm trùng
inflation	lạm phát
influence	ảnh hưởng
inform	thông báo
information	thông tin
ingredient	thành phần
initial	ban đầu
initially	ban đầu
initiative	sáng kiến
injury	chấn thương
inner	bên trong
innocent	vô tội
inquiry	cuộc điều tra
inside	phía trong
insight	thấu hiểu
insist	năn nỉ
inspire	truyền cảm hứng
install	cài đặt, dựng lên
instance	ví dụ
instead	thay thế
institution	tổ chức
institutional	thể chế
instruction	chỉ dẫn
instructor	người hướng dẫn
instrument	nhạc cụ
insurance	bảo hiểm
intellectual	trí thức
intelligence	Sự thông minh
intend	có ý định
intense	dữ dội
intensity	cường độ
intention	ý định
interaction	sự tương tác
interest	quan tâm
interested	quan tâm
interesting	hấp dẫn
internal	nội bộ
international	quốc tế
internet	Internet
interpret	thông dịch
interpretation	diễn dịch
intervention	can thiệp
interview	phỏng vấn
into	vào
introduce	giới thiệu
introduction	Giới thiệu
invasion	cuộc xâm lăng
invest	đầu tư
investigate	điều tra
investigation	cuộc điều tra
investigator	người điều tra
investment	đầu tư
investor	nhà đầu tư
invite	mời gọi
involve	liên quan
involved	có tính liên quan
involvement	sự tham gia
iraqi	Người Iraq
irish	Ailen
iron	bàn là
islamic	Hồi giáo
island	Đảo
israeli	Israel
issue	vấn đề
it	nó
italian	người Ý
item	mục
its	nó là
itself	chinh no
jacket	Áo khoác
jail	nhà giam
japanese	tiếng Nhật
jet	máy bay phản lực
jew	Người Do thái
jewish	Người Do Thái
job	việc làm
join	tham gia
joint	chung
joke	trò đùa
journal	tạp chí
journalist	nhà báo
journey	hành trình
joy	vui sướng
judge	thẩm phán
judgment	sự phán xét
juice	Nước ép
jump	nhảy lên
junior	em
jury	ban bồi thẩm
just	chỉ
justice	Sự công bằng
justify	biện minh
keep	giữ
key	Chìa khóa
kick	đá
kid	đứa trẻ
kill	giết chết
killer	sát thủ
killing	giết người
kind	loại
king	nhà vua
kiss	hôn
kitchen	phòng bếp
knee	đầu gối
knife	dao
knock	đánh
know	biết
knowledge	hiểu biết
lab	phòng thí nghiệm
label	nhãn
labor	lao động
laboratory	phòng thí nghiệm
lack	thiếu sót
lady	quý bà
lake	hồ nước
land	đất đai
landscape	phong cảnh
language	ngôn ngữ
lap	lòng
large	lớn
largely	phần lớn
last	Cuối cùng
late	muộn
later	một lát sau
latin	Latin
latter	sau này
laugh	cười
launch	phóng
law	pháp luật
lawn	bãi cỏ
lawsuit	vụ kiện
lawyer	luật sư
lay	đặt nằm
layer	lớp
lead	chì
leader	người lãnh đạo
